%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869376952158468,7222,1580869376951123952,,0.1858,-0.0064,0.4966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869376977318622,7223,1580869376976223945,,0.1858,0.0003,0.5011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377002412871,7224,1580869377001116037,,0.1846,0.0017,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377027214243,7225,1580869377026231050,,0.1884,-0.0025,0.5013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377052771333,7226,1580869377051723957,,0.1845,-0.0037,0.4935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377077039003,7227,1580869377076029062,,0.1832,-0.001,0.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377102247006,7228,1580869377101139068,,0.1871,0.0002,0.5057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377127160857,7229,1580869377126179933,,0.1871,-0.0024,0.4891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377152131669,7230,1580869377151056051,,0.1911,0.0081,0.4846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377177089804,7231,1580869377176023006,,0.191,0.0001,0.4816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377202419529,7232,1580869377201239109,,0.1871,0.0002,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377227332488,7233,1580869377225967884,,0.191,0.0001,0.4816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
